;ΔQ (μJ);Vol. (μL);Xt (mM);Mt (mM);XMT;∆H (J/mol);Fit (J/mol);Residual (J/mol);
1;17,63437;0,300;0,00000e0;1,00000;7,80185e-2;1076,57961;6437,57209;-5360,99248
2;347,54743;1,00;7,79072e-2;0,99857;0,33891;6364,70101;6436,05593;-71,35492
3;353,31964;1,00;0,33682;0,99383;0,60104;6470,40865;6433,43451;36,97414
4;348,34708;1,00;0,59450;0,98911;0,86441;6379,34514;6430,37782;-51,03268
5;343,94931;1,00;0,85093;0,98441;1,12901;6298,80804;6426,83039;-128,02235
6;352,32134;1,00;1,10613;0,97974;1,39485;6452,12660;6422,72392;29,40267
7;342,60635;1,00;1,36010;0,97509;1,66193;6274,21412;6417,97360;-143,75948
8;348,74845;1,00;1,61283;0,97045;1,93024;6386,69562;6412,47305;-25,77744
9;345,61751;1,00;1,86431;0,96584;2,19979;6329,35815;6406,08754;-76,72940
10;347,76694;1,00;2,11457;0,96126;2,47058;6368,72100;6398,64443;-29,92344
11;348,84950;1,00;2,36358;0,95669;2,74261;6388,54605;6389,91982;-1,37376
12;342,02599;1,00;2,61136;0,95214;3,01587;6263,58591;6379,61936;-116,03345
13;348,04986;1,00;2,85790;0,94762;3,29037;6373,90216;6367,35048;6,55168
14;341,11669;1,00;3,10320;0,94312;3,56611;6246,93366;6352,58094;-105,64728
15;343,54980;1,00;3,34727;0,93863;3,84309;6291,49174;6334,57635;-43,08462
16;345,23475;1,00;3,59010;0,93417;4,12130;6322,34848;6312,30343;10,04505
17;343,47083;1,00;3,83169;0,92973;4,40075;6290,04556;6284,27705;5,76851
18;345,67758;1,00;4,07205;0,92531;4,68144;6330,45824;6248,31277;82,14547
19;341,53776;1,00;4,31117;0,92091;4,96336;6254,64488;6201,11760;53,52728
20;341,07237;1,00;4,54905;0,91653;5,24652;6246,12217;6137,60106;108,52111
21;340,13716;1,00;4,78569;0,91216;5,53092;6228,99538;6049,70714;179,28824
22;334,25951;1,00;5,02110;0,90782;5,81655;6121,35689;5924,47204;196,88485
23;322,73665;1,00;5,25527;0,90350;6,10343;5910,33670;5741,06803;169,26868
24;308,68565;1,00;5,48820;0,89920;6,39154;5653,01808;5467,56897;185,44911
25;276,15885;1,00;5,71989;0,89492;6,68088;5057,34873;5062,39865;-5,04992
26;234,28196;1,00;5,95035;0,89065;6,97147;4290,44929;4494,84907;-204,39977
27;193,75650;1,00;6,17957;0,88641;7,26329;3548,29908;3795,28694;-246,98786
28;166,92314;1,00;6,40755;0,88218;7,55635;3056,89471;3082,46796;-25,57325
29;141,69666;1,00;6,63430;0,87798;7,85064;2594,91743;2486,49340;108,42402
30;121,60998;1,00;6,85981;0,87379;8,14617;2227,06639;2055,07737;171,98902
31;105,81348;1,00;7,08408;0,86962;8,44294;1937,78200;1764,10692;173,67507
32;93,18698;1,00;7,30712;0,86547;8,74095;1706,55063;1570,93754;135,61309
33;83,13054;1,00;7,52891;0,86134;9,04019;1522,38513;1440,97677;81,40836
34;75,32827;1,00;7,74948;0,85722;9,34068;1379,50062;1351,32050;28,18011
35;69,94769;1,00;7,96880;0,85313;9,64239;1280,96505;1287,70909;-6,74404
36;64,55655;1,00;8,18688;0,84905;9,94535;1182,23614;1241,33047;-59,09433
37;60,77291;1,00;8,40373;0,84499;10,24954;1112,94562;1206,65941;-93,71379
38;56,75560;1,00;8,61935;0,84095;10,55497;1039,37585;1180,15153;-140,77568
39;53,04571;1,00;8,83372;0,83693;10,86164;971,43609;1159,47510;-188,03901
40;0,00000e0",0;9,04686;0,83292;0,00000e0;0,00000e0;0,00000e0;0,00000e0
